Time_microseconds,Electron_Count,Input_Energy_J,Inelastic_Energy_Transfer_J,Elastic_Energy_Transfer_J,Total_Energy_Transfer_J,Efficiency_percent
0.0008070000000000001,80700,0.80109,0.6969483000000001,0.0021344415610379482,0.699082741561038,87.26644216768929
0.000808,80800,0.80109,0.7402071600000001,0.0021336776993778955,0.742340837699378,92.6663468148935
0.000809,80900,0.80109,0.73059408,0.0021366657721221993,0.7327307457721223,91.46671981577441
0.00081,81000,0.80109,0.7281908100000001,0.0021388864564151106,0.7303296964564152,91.16699702361348
0.0008110000000000001,81100,0.80109,0.72819081,0.002138467847956832,0.7303292778479568,91.16694476868162
0.000812,81200,0.80109,0.69454503,0.0021457274414521843,0.6966907574414521,86.96785098327985
0.000813,81300,0.80109,0.73299735,0.0021466668778236807,0.7351440168778237,91.76796825291252
0.0008139999999999999,81400,0.80109,0.71617446,0.002151665354669522,0.7183261253546694,89.66859221253056
0.000815,81500,0.80109,0.7354006199999998,0.002155883055207907,0.7375565030552077,92.06911870760436
0.000816,81600,0.80109,0.6921417599999999,0.0021563217788309937,0.6942980817788309,86.66917347350795
0.000817,81700,0.80109,0.72819081,0.002154987146560505,0.7303457971465604,91.16900687140377
0.0008179999999999999,81800,0.80109,0.7305940799999999,0.0021628939992611763,0.7327569739992611,91.46999388333894
0.000819,81900,0.80109,0.7354006199999998,0.0021608418303899007,0.7375614618303897,92.06973771116976
0.00082,82000,0.80109,0.7209809999999999,0.0021681777165827006,0.7231491777165826,90.2706534491874
0.0008210000000000001,82100,0.80109,0.7089646499999999,0.0021735051859983964,0.7111381551859982,88.77131847680482
0.000822,82200,0.80109,0.69935157,0.0021683760388458238,0.7015199460388458,87.57067820579998
0.0008230000000000001,82300,0.80109,0.7257875400000002,0.002172746174745884,0.7279602861747461,90.87122372953702
0.000824,82400,0.80109,0.7257875400000002,0.0021771597367059043,0.7279646997367062,90.8717746740979
0.000825,82500,0.80109,0.7161744600000002,0.0021816725721454833,0.7183561325721457,89.67233801100414
0.000826,82600,0.80109,0.7257875400000001,0.0021839973546050463,0.7279715373546052,90.8726282134009
0.000827,82700,0.80109,0.7498202400000001,0.002187129367871738,0.7520073693678718,93.87301918238022
0.000828,82800,0.80109,0.68733522,0.0021784041441456022,0.6895136241441456,86.07193001326615
